ident,ru,en
checkpoint_name,Рабочий процесс,
f70633e7-6510-468b-8b36-9615a629ef4c,"Если вы никогда не сталкивались с системами контроля версий, для начала очень рекомендую пройти [link https://learngitbranching.js.org]обучение гиту[/link] хотя бы [b]""Ведение""[/b] и в табе [i]""Удалённые репозитории""[i] [b]Pull&Push[/b], для большего понимания. Эта игра поможет вам понять как работает git и какие команды нужно использовать для работы с ним. ",
2fd726c2-49c4-4576-a875-5b3bc6800e24, Ok ,
95892633-b372-48a8-be57-d8c5c18ed530,"Когда вы склонировали себе основной репозиторий, вы скачали историю которую видите сейчас, тут будут использоваться все фишки движка и вы можете посмотреть как сделанно то или иное действие. ",
08328109-4613-4e05-8505-8f7faef99955, Ok ,
da6f6949-32df-427f-ba91-b652a2139c89,"Надеюсь вы прошли обучение и понимаете что такое ветки, коммиты, пулы и пуши. Если нет, то обязательно пройдите обучение, это вам поможет в дальнейшей работе, а тут я быстро пробегусь по основным моментам.[br/]Гит позволяет делать так называемые ветки. То есть вы скачали (склонировали) себе репозиторий, а дальше переключаясь между ветками - вы можете переключатся между разными историями - это действие будет заменять все файлы в директории и вы будете видеть только текущую ветку. Также вы можете более осознанно вести разработку новых историй с возможностью откатиться на на рабочий вариант, или ""влить"" ветку в который вы разрабатываете новый сюжет в основную ветку истории.[br/]Главный принцип, который вам следует соблюдать - это не писать всё от начала и до конца и только после этого заливать на сервер, а писать постоянно и делать коммиты, чтобы в случае чего вы могли откатиться на предыдущую версию, а также получать своевременные комментарии. Не забывайте делать пулы и пуши, чтобы ваша история была актуальной и вы могли работать с другими участниками проекта. ",
94ca63cc-50e1-4dc7-85f3-db5d7c967259, Ok ,
a4d4a19d-86ec-4d7c-a693-7c949b24886e,"[b]Checkout to ...[/b][br/]Это команда используется для переключения между ветками.[br/]При переключении ветки, вся текущая работа в текущей ветке желательно должна быть выполнена (те не иметь не закомиченных изменений, об этом ниже), иначе вы увидите следующее сообщение ",
45b81438-e666-427b-b497-154604cd7cf7,"Stash & Checkout это значит выполнится команда Stash, в текущей ветке, а затем будет осуществлён переход на искомую ветку. После перехода на новую ветку - вы можете продолжить работу над историей. ",
a3d83907-7c6c-4955-8e89-dd61fb250d2a, Ok ,
e45c64ac-1c5f-437c-9dd7-c2ae63811d8e,"[b]Pull[/b][br/]Это команда скачивает последние изменения в вашей ветке из github на ваш компьютер, её нужно выполнять перед началом работы, конечно если вы только что склонировали репозиторий - у вас и так последняя версия и выполнять команду не обязательно. ",
90528d03-1730-4a92-9590-ce312237ae63, Ok ,
91b679b4-b1ed-47d6-8086-196c56e829d9,"[b]Commit[/b][br/]После проведения осмысленной части работы, вам следует сохранить проделанную работу. Во вкладке ""Changes"" вы увидите все изменения внесённые вами с момента прошлого коммита. Вам следует описать что вы изменяете дополняете в описании коммита (""Test Commit"" в примере) нажмите кнопку ""Commit"" ",
bd9350c5-2d5b-4b35-a1da-3b86e4eb751a, Ok ,
9a54d38f-28af-4846-9656-568d368c2aff,"[b]Push[/b][br/]После этого вам следует отправить изменения на гитхаб - командой [b]Push[/b] либо из меню либо кнопкой ""Sync Changes"" ",
f9fa4267-01f5-45ea-981f-c2ed85631bf6, Ok ,
3ebda5ed-f585-4545-8cfd-c774b13953fd,"В нижнем тулбаре вы можете увидеть название текущей ветки кол-во коммитов для загрузки, и кол-во коммитов для выгрузке. ",
7f3b8f68-9990-493d-9d67-fd05428c7626, Ok ,
0c290c2a-5972-4d1c-9a66-0d2594c78c41,"[b]Workflow[/b][br/]Главный принцип - в каждый момент времени на репозитории должна лежать рабочее состояние истории. Те делайте коммит, только когда вашу историю можно запустить - она может быть не полной, содержать заглушки, с какими-то комментариями, но её можно запустить.[br/]Каждое название коммита должно быть развёрнутым - чтобы было понятно что было изменено - например, не ""fix"", а ""correction of spelling"", если вы сделали несколько разных вещей - лучше разделите их на несколько коммитов, если это невозможно - перечислите все изменения.[br/]Каждая история во время разработки имеет только одну ветку - с поменткой ""dev"" - что означает для разработки, если история уже имеет рабочего бота - у истории должно быть 2 ветки - одна dev в которой продолжается разработка, а вторая основная, в которой содержится актуальное состояние истории в игре. ",
552898d2-7e76-43e2-a3a7-9fa60fa820c3, Ok ,
add06ce9-af52-40b9-a587-9f95c40e8aff,"Посмотрите видео, чтобы увидеть как это работает на практике ",
b541be97-9a95-40bc-96bb-a02ae3743d27, Ok ,
