ident,ru,en
checkpoint_name,Media сообщения,
f68f4d10-3e27-4dbd-9dfa-1401cf1b1268,"Движок позволяет отправлять различные медиа сообщения, такие как фото, видео, войс, кружочки. Для отправки медиа сообщений нужно положить файлы в папку Media в корне проекта. Для отправки медиа сообщений используются специальные тэги, сообщение должно начинаться с них, иначе движок определит это как обычное текстовое сообщение с неизвестным атрибутом.[br/]Большенство медиа сообщений поддерживают описание, которое будет отображаться под медиа сообщением. Описание пишется после тэга, если описание не нужно, просто не пишите ничего после тэга. Обратите внимание - кружочки не поддерживают описания.[br/]\[photo test_story.jpeg \/\]Описание - отправка фото [br/]\[voice test_story.ogg \/\]Описание - отправка войса[br/]\[video_note test_story.mp4\/\] - отправка кружочка[br/]\[video test_story.mp4 \/\]Описание - отправка видео ",
b4a4ae84-8139-40f4-ac29-33892df986f5, Отправить фото ,
961759aa-cfbd-4270-bbc8-907ff772c399, Фото с описанием ,
b3478f6a-3a0b-415d-90d2-b97576392561,"Описание[br/]В описании вы можете применять то же форматирование, что и в тексте сообщения ",
e18e612c-d086-4850-940a-6a4b2b2872a0, voice ,
fa0f9631-8307-4496-af78-e02865d615d1,В войсе можно также использовать описание - хотя чтобы сохранить достоверность - лучше этого избегать ,
fa63f0c0-d1b5-49c9-a8d8-bfeddd640ed2, Кружок ,
25446dd2-7d42-4eed-a5c7-d92cf47adfe2, Внимание ,
973a4099-db1c-477e-b853-63d995404341,"В названиях медиа файлов придерживайтесь структуры[br/]Имя истории[br/]Тип медиа[br/]Имя yarn-файла[br/]title ноды[br/]""cen"" если это зацензуренная версия[br/][br/]Например:[br/]Nastya_Voice_First-Meeting_Cafe.ogg[br/]История Nastya тип Voice, имя yarn-файла First-Meeting, нода Cafe[br/][br/]Nastya_Photo_Blackmail_Hangover_cen.jpeg[br/]История Nastya тип Photo, Имя yarn-файла Blackmail нода hangover, цензурированная версия. ",
e4e61164-b240-43db-9a1e-cef00aaa5ccf, Ясно ,
9db01461-31f0-4640-b869-82e26f48a329,"Пора поговорить о команде которая позволяет перейти к другой ноде. Это команда jump. Она пишется в отдельной строчке и после неё идёт название ноды, к которой нужно перейти. Например \<\<jump Messages\>\> таким же образом осущесвляется переход в другой файл, например сейчас нам нужно переходить к переменным и к возжностям, которые они дают, это совсем другая тема, поэтому мы должны перейти не просто к другой ноде, но к другой ноде в другом файле, но выполняется это аналогично.\<\<jump Vars\>\> Если у вас хорошо настроен vscode - то вы можете просто кликнуть на название ноды с зажатым Ctrl (Command) и перейти к ней. ",
86a1482c-4fc9-4eee-a132-901b21253d5e, Перейти к переменным ,
