ident,ru,en
checkpoint_name,Простые сообщения,
47f61f63-14b1-5477-ba75-1774971e3f4d,"Каждая строчка внутри ноды - это отдельное сообщение. Поэтому настройте ваш vscode на перенос строки по словам, чтобы удобно писать длинные сообщения, визуально будет происходить прернос, но на самом деле это будет одна строчка, а значит одно сообщение. ",
acce8a1b-5a69-4824-a934-0493c18911f0,"Хорошей практикой будет отделять одно сообщение от другого пустой строкой, чтобы визуально было понятно, что это разные сообщения. ",
d4b550b0-9c34-4908-b341-e3e7ebfbb0a3,"Чтобы в рамках одного сообщения сделать перенос строки, нужно использовать [br/] и вот она новая строчка. ",
288d2a49-51b9-49a2-af73-20ab2693e710,"Если вам нужно использовать специальные символы в тексте - такие как \[, \], \<, \>, \/, \{, \}, \# то нужно явно сообщить об этом экранировав их с помощью ""\\"" перед символом. Например \\\[ ",
d9e440d0-4763-418b-945b-b5ef7990357b,"Отдельно стоит знак двоеточия, с помощью этого знака мы можем обозначить имя персонажа, кому принадлежит реплика, в текущей реализации движка это ни на что не влияет и имя будет просто отброшено. Если вам нужно использовать двоеточие - \[cl\/\], который будет заменён на двоеточие. ",
fe4391bb-84a0-43a9-8aa2-b5388b9165b7,"Так же происходит со знаком доллара - [usd/][br/]Используйте \[usd \/\] чтобы написать этот знак, это опять же связанно с подсветкой кода от yarnspinner, которую мы используем. ",
80b1df96-fa89-4497-984c-e19c9cb14f80,"Вам не нужно экранировать спецсимволы или заменять двоеточие, если они встречаются в качестве параметров тэгов или в качестве значения переменной. об этом ниже. ",
a00f73f7-504f-4196-8f2e-f4fb854d78d9,На данный момент движок поддерживает следующие inline атрибуты [cl/][br/]\[br \/\] - разрыв строки[br/]\[i\] - начало курсива[br/]\[\/i\] - конец курсива[br/]\[b\] - начало жирного текста[br/]\[\/b\] - конец жирного текста[br/]\[u\] - начало подчёркнутого текста[br/]\[\/u\] - конец подчёркнутого текста[br/]\[s\] - начало зачёркнутого текста[br/]\[\/s\] - конец зачёркнутого текста[br/]\[link ссылка\] - начало ссылки[br/]\[\/link\] - конец ссылки[br/]\[spoiler\] - начало спойлера[br/]\[\/spoiler\] - конец спойлера[br/]\[ms\] - начало вставки кода[br/]\[\/ms\] - конец вставки кода   ,
06e5a141-0f8b-452c-ad12-ba33c6dcdb99,Вот так это выглядит -[br/][i]Курсивный текст[/i] [b]Жирный текст[/b] [u]Подчёркнутый текст[/u] [s]Зачёркнутый текст[/s] [link https://kisapisa.art]Текст ссылки[/link] [spoiler]Спойлер[/spoiler] [ms]Код[/ms] ,
2c72e56b-2ad2-45c6-bfec-8e058939e1ae, Дальше ,
237f77af-9e3d-4d20-9e6a-948246800a8a,"Как вы помните - мы сначала настроили значения wait, time_for_status и reactions по умолчанию в файле settings-ru.yaml, затем в настройках ноды мы можем переопределить эти значения для конкретной ноды. С помощью команд мы сможем переопределить эти значения и для конкретного сообщения.[br/] Команды пижутся в потоке выполнения ноды так как вы хотели бы их применить, например ничего вам не мешает подождать 5 секунд, начать печатать 3 секунды, потом ещё подождать 5 а потом отправить сообщение, если укажите перед любую из следующих команд вы берёте на себя управление этим сообщением и команды по умолчанию к ней применятся не будут никаких команд. В противном случае параметры wait, time_for_status, reaction будут взяты из настроек ноды, а если и там их не будет, то из настроек по умолчанию. Итак ",
6a4e0ed1-dcd2-42bc-9440-e9e2aeb73354,"\<\<wait 5\>\> - подождать 5 секунд[br/]\<\<typing 3\>\> - статус ""печатать"" на 3 секунды[br/]\<\<upload_photo 4.5\>\> - статус ""отправляю фото"" на 4.5 секунды[br/]\<\<upload_voice 6\>\> - статус ""записываю войс"" на 6 секунд[br/]\<\<record_video_note 4.0\>\> - статус ""записываю видео"" на 4 секунды[br/]Естественно все цифры условные и вы можете подставить свои значения.[br/]\<\<reaction angry\>\> - Назначит реакцию на следующее сообщение в angry[br/][br/]Для примера следующее сообщение будет иметь 5 секундную задержку и 5 секундный период отправки статуса - ""отправляю фото"", так же имеет не стандартную реакцию - ""angry"" ",
6a0b5e0c-e0d6-4948-b7b2-0c13f6a1c7bc, Перейти к настроенному сообщению ,
e0aa02ea-1cb3-458f-9781-d23eba6e092c, Ответ 1 ,
638fd356-d4d1-4e4b-8d89-e255e411e453, Ответ 2 ,
979190e8-08c0-4daf-9d52-a326b76ebc0c,"Ку-ку, теперь давайте разберёмся с кнопками. Кнопки позволяют пользователю выбрать один из нескольких вариантов ответа. При этом вам не нужно писать отдельные ноды для каждого варианта ответа, а просто указать варианты ответа внутри одной ноды. Вот пример ",
3ae1757b-2b21-478f-a1db-87e6e41bb8fa,"Этот способ хорошо подходит, когда вам нужно среагировать на сообщение, поддержать диалог, но ответ пользователя не влияет на дальнейший ход сюжета. На самом деле вы можете даже не прописывать ответы, а просто вывести варианты ответа и просто пойти дальше. ",
71519bc5-8b19-4060-a465-29018fb2922e, Это тоже сработает ,
087c098e-d46b-4c42-a1f7-a3c5a289515f, Что бы вы не выбрали - эти кнопки ни на что не повлияют ,
ff815d73-bddd-46ba-a73e-d34792a1f689,Только учтите что из-за ограничения телеграмма длинна текста в кнопке не должна превышать 127 символов ,
91e9c584-3312-49de-83a5-bfc8328f4e35,"Под кнопками можно отправлять сообщения переходить на другую ноду или выполнять какие-то действия, например можно разместить там отправку статуса ",
e89d959f-b04a-417d-88ce-b6683ad73adc," Отправить статус ""записываю войс"" на 5 секунд ",
eb3a2b2b-6f50-4377-a278-9e12683840a2," Отправить статус ""печатаю"" на 3 секунды ",
1941e302-1bb8-48cf-9658-8ba8aa11ee83, Вариант 1 ,
dec5baa7-b4d7-43c7-9914-da0221fa5f0b,И тут какой-то сюжет ,
63b23eaf-1208-4538-be76-30d91c1bebbb,Тут какой-то сюжет ,
a4efe85e-2b26-416c-a4f6-15229a47b883,"Вы можете строить достаточно сложные ветвления внутри одной ноды, например ",
4152ce87-385c-4bac-9195-06101646e50c,"Главное отступить он прошлой ветки 4 пробела и можно всю игру разместить в одной ноде. Но это не рекомендуется, так как пишем мы один раз, а читаем постоянно. Избегайте второго слоя вложенности. Если вам нужно сделать именно ветвление, то нужно создать новую ноду, осмысленно назвать её и связать её с текущей. ",
78d3c6df-35b7-4c7f-8701-08a4612a84ea,Как раз сейчас мы переходим к медиа сообщений и поэтому семантически лучше разместить это в отдельной ноде. ,
5a6e575b-cb16-439f-a88a-0ec1aca2d676, Перейти к медиа сообщениям ,
