ident,ru,en
checkpoint_name,Переменные,
59aa84a7-4677-4625-9954-1e9227633d2e,"Для запоминания выбора игрока, а также проверок его состояния используются переменные.[br/]Переменная это контейнер в который вы можете по ходу повествования складывать и изменять всевозможные данные. Сделал ли ваш герой тот или иной выбор, возможно у него есть какая-то характеристика, например опыт, которую он будет менять своими дейсвиями и окружающий его мир может реагировать на это, напоминая герою о его выборе и о последствиях, который этот выбор повлёк.[br/]Некоторые переменные стандартны для всех пользователей и их меняет сам движок - это, например переменные которые считают кол-во рефералов, которые привлёк игрок или его уровень подписки[br/][br/]В игре могут быть только три типа переменных числа, ""флаги"" true\/false и строки.[br/][br/] ",
0f185099-7a58-4c00-a2d8-24741a939fba,Установили test_flag в true ,
8ada454a-a4d9-4ea9-ac7d-804f65fd1278, Установить test_flag = true ,
4d0c36a5-7d39-40ae-947f-4897e1a7914e,Установили test_flag в false ,
a0c484bb-46e5-400f-9f49-4e1eb79ca825, Установить test_flag = false ,
a8af3e9f-6c2f-4285-97a6-3074898dae0f,"Переменные всегда начинаются со знака доллара, и имеют те же ограничения, что вы читали в мануале по yarn-у, устанавливаются через команду set, например \<\<set [usd/]test_flag = true\>\>[br/]Не забудте декларировать переменную, если вы планируете использовать эту переменную где-то дальше то лучше это сделать в файле main.yaml. ",
9f98c85e-ba8b-4191-acb0-8ac031f6eacb,"Итак значение test_flag = {$test_flag}.[br/]Тут мы просто встроили значение переменной в текст с помощью \{[usd/]Имя_переменной\}[br/]Теперь давайте в следующем сообщении скажем ""яблоки"" если test_flag = true и ""груши"" если test_flag = false[br/]Для этого мы воспользуемся условным оператором if и нагло задекларируем новую переменную, которая будет принимать значение по умолчанию ""груши"", но если test_flag = true мы сделаем её ""яблоки"". Если вам нужна переменная для одного сообщения, то лучше всего её декларировать в самом сообщении, чтобы не засорять main.yaml. начинайте её с двойного подчёркивания, чтобы было явно что эта переменная локальная и не предполагает переиспользования, затем нижнее подчёркивание и название ноды, в которой вы используете эту переменную, таким образом движок не будет хранить её значение за пределами ноды. ",
c8ec2ad0-93b0-4485-8b98-6d222e0afb1f, Проверить ,
4a558fd5-30de-440f-8e23-8e2278cbfea4,Установили test_counter в 10 ,
d292645e-d860-4f48-b120-70b4fda82be4, Установить test_counter = 10 ,
e20fc011-3863-49a1-ae7a-8e6aacdb840e, Умножить на 10 ,
e28a2017-b1de-49c0-9b1c-d2be1cf4f2b3, Вычесть 5 ,
da1a4dc4-d78f-4aae-80ef-941d5b9c55ba, Поделить на 5 ,
035bdfa5-28ac-4037-bbdd-77ca6c4f08f5,"Итак Катя очень любит {$__frut_Vars}! Тут мы создали новую переменную [usd/]__frut_Vars установили ей значение и использовали её в тексте.[br/]Давайте попробуем посчитать и установим значение 10 для переменной test_counter и создадим кнопки, которые будут увеличивать, умножать, вычитать и делить это значение на 5. ",
deda4cdc-27e7-4a91-bc15-7985568d4a48,"Всё готово, [usd/]test_counter = {$test_counter} чтобы изменить значение переменной также используйте команду set, в виде [usd/]имя_переменной = новое_значение[br/]новое значение может быть и выражением, например [usd/]test_counter = [usd/]test_counter + 10[br/]Мы можем выводить целые сообщения в зависимости от значения переменной или от результата выражения, в целом реализованна вся логика из мануала по yarn-у, так что если вы знаете как это делать в yarn-е, то вы сможете это сделать и здесь. ",
2605f70e-bebd-4cfe-bff6-a09b9d28a2cd, Проверить ,
d699f859-1e8c-4bd0-b1f9-0a9bc5a22994,[usd/]test_counter меньше 10 и test_flag = true ,
9476f358-cfed-474e-96b7-6c679609d56e,[usd/]test_counter меньше 10 и test_flag = false ,
5d48965d-6a59-4d6c-a5e9-20ec06c299fe,[usd/]test_counter больше 10 и test_flag = true ,
ceac29a9-0dcf-41cc-b0f6-bd33f29cc40a,[usd/]test_counter больше 10 и test_flag = false ,
4969912b-fce4-4d40-98c2-931c16d1bd17,"Так же удобно вешать условия на кнопки, чтобы они были активны только при выполнении определённых условий, например  ",
1a142a5b-5aa0-4f4c-a684-432fdd803468, Активна только если test_flag = true ,
20e22fb1-e3d9-43b0-b1de-c86ca9b82322, Активна только если test_flag = false ,
44045e2e-218d-4761-b936-ec9384999f69, Активна всегда ,
