ident,ru,en
checkpoint_name,Yarn и структура проекта,
2a591758-cf8d-4323-851e-4e5d11d550f7,"Мы используем язык yarn, мы не мыслим историю в отдельных  сообщениях, а идём от общего к часному. Сначала основные блоки сюжета(отдельные файлы), потом мы их делим на главы (ноды) и уже внутри глав мы пишем конкретные сообщения, но для того чтобы продолжить, вам нужно изучить [link https://docs.yarnspinner.dev/getting-started/writing-in-yarn]мануал по языку yarn[/link], вы можете попробывать написать свои первые скрипты [link https://try.yarnspinner.dev]тестовой среде[/link], но учтите она интерпретирует язык не совсем так как наш движок. Дальше мы рассмотрим только особенности которые применимы для нашего движка. ",
7f6f42ab-bdc7-4e24-b00f-9f741c2b9897, Я изучил мануал и готов продолжить ,
e916a8f0-6f35-4f92-a5b4-6f1251791341,"Если вы начинаете новую историю, то начать нужно с директории [ms]Docs[/ms]. Это место для документации по проекту опишите ключевын события, развилки, изменения персонажей в вашей будущей истории. Это нужно для того чтобы вам было удобно ориентироваться в вашем проекте. ",
48f0a374-d2a7-4bb6-b5aa-38f7941946fd, Ok ,
32308688-4403-4675-8284-bf5b478c5ef0,"После этого в директории [ms]Story[/ms] создайте файлы с примерным названиями ключевых моментов в формате ""\{порядковый номер\}-\{Имя\}"".Порядковый номер - это условное понятие, но он нужен для того чтобы вам было удобно ориентироваться в ваших файлах. ",
9968bbdf-0ecc-459d-ad89-2ecacee39614, Ok ,
f51968b2-8a11-4755-9a96-313b6e7e9dff,"В [ms]Docs[/ms] вам следует описать персонажей, их качества в отдельных файлах в свободном формате, при необходимости опишите сеттинг, локации и прочее. Это нужно чтобы по ходу проекта стабильные вещи не плыли, а персонажи менялись как вы этого хотите, а не просто плыли по ситуации. ",
6b4fb9c9-7324-4c82-a5d0-5270dec3b793, Ok ,
61a087a6-edc5-4b24-8393-3e464196eac4,У вас получилась структура проекта. Теперь давайте поговорим о файле settings.yaml и настройках ноды. ,
9405e565-81f8-4134-967f-91d0e9576c8e, Давайте ,
